"X","Y","ID","Av_NOx_100m","Av_traffic_100m","Building_100m","Open.Area_100m","Residential_100m","Resource.and.Industrial_100m","Waterbody_100m","Parks.and.Recreational_100m","Government.and.Institutional_100m","Commercial_100m","Pop_100m","Roads_100m","Tot_NOx_100m","Tot_traffic_100m"
607069.9222,5038422.721,408,52.21475203,486.8532812,1031.681006,0,26467.94014,0,0,0,4906.99699,0,354.0282811,596.3252045,1253.154059,11684.47882
610843.8456,5037317.654,407,20.13579046,439.3116346,9319.319278,0,31374.93713,0,0,0,0,0,228.3573332,613.40313,483.2589581,10543.47913
607147.1083,5032060.096,412,12.796783,138.6500416,8994.148273,0,21513.42629,0,0,0,0,9861.510846,297.4322543,530.5936554,307.1228011,3327.601045
606949.1289,5036642.605,411,10.94767097,126.9295167,3879.887419,221.4999634,20211.26051,0,0,0,10942.17666,0,235.7157926,463.3058732,262.7441062,3046.308416
609219.502,5036168.631,81,512.43873,24265.59455,2171.778575,11332.8511,18826.23599,1215.850036,0,0,0,0,52.8178979,1366.143548,12298.52947,582374.2688
605551.3966,5041727.142,405,2.387333875,37.21837444,0,0,31374.93713,0,0,0,0,0,108.3667245,543.515826,57.2960125,893.2409875
609398.2134,5039448.225,406,11.05613852,38.884146,0,0,0,0,0,31374.93713,0,0,6.54879712,434.4685525,265.3473211,933.2194941
596246.8697,5033505.107,0,244.0333176,740.9886165,17.50267801,4344.186599,27030.75053,0,0,0,0,0,61.59130318,937.959967,5856.799846,17783.72669
605456.8995,5033332.822,0,0.832005321,17.21437217,4031.754618,0,26652.24354,0,0,4722.693595,0,0,247.3713978,489.0000937,19.96812684,413.1449197
617335.6706,5056943.82,0,4.369934537,65.27843045,739.8027605,0,31374.93713,0,0,0,0,0,136.4007053,571.0847944,104.8784272,1566.682316
